store_type,availability,location,rating  ,society,total_sqft,employees ,programs,programs_val,Dpmo
Drug Store,Ready To Move,Hoysalanagar,3,,7650,1,3P,1,12
Super Market,19-Sep,Sarjapur  Road,3,Prtates,25625,28,IHS,2,97
Drug Store,18-May,Ashwath Nagar,3,Prldsum,21250,1,Locker,3,79
Super Market,43879,Bisuvanahalli,3,Baanise,36275,35,Locker,3,20
Super Market,Ready To Move,Dasanapura,2,JRrnauv,32250,7,IHS,2,12
Super Market,Ready To Move,Panathur,2,,31750,9,3P,1,44
Super Market,44186,Raja Rajeshwari Nagar,2,,27750,19,IHS,2,72
Super Market,Ready To Move,Bidrahalli,1,MJarlPe,10836,48,Locker,3,1
Super Market,Ready To Move,Seegehalli,3,MDncyhi,6750,14,3P,1,74
Drug Store,Ready To Move,Hennur,2,,58025,4,3P,1,12
Drug Store,Ready To Move,Horamavu Agara,2,,64000,0,Locker,3,70
Super Market,Ready To Move,Doddaballapur,3,,39114,0,IHS,2,96
Super Market,Ready To Move,Sarjapura - Attibele Road,2,Prhtsok,10620,35,Helix,4,6
General Store,Ready To Move,Frazer Town,5,,10638,2,Locker,3,26
Super Market,Ready To Move,Sahakara Nagar,2,JRrnauv,36125,27,3P,1,26
Super Market,Ready To Move,Kodbisanhalli,2,JaaldEm,6100,32,Locker,3,15
Super Market,43939,Hosa Road,3,,36125,47,IHS,2,16
Super Market,Ready To Move,Yelahanka,3,,47425,6,IHS,2,59
Super Market,Ready To Move,Haralur Road,2,,30875,35,3P,1,81
Super Market,20-Oct,Whitefield,4,PrarePa,35000,23,Locker,3,55
Drug Store,44029,Kengeri,3,,74318.4,0,Locker,3,45
Super Market,18-Dec,Seegehalli,2,Magiaya,10125,37,Locker,3,3
Super Market,Ready To Move,S R Layout,2,Sklls C,24900,4,3P,1,8
Super Market,Ready To Move,Bhoganhalli,2,GonumPl,15600,48,IHS,2,50
General Store,Ready To Move,BTM 2nd Stage,3,,24250,19,IHS,2,95
Super Market,Ready To Move,Devanahalli,3,Neisei ,28750,46,IHS,2,24
Drug Store,Ready To Move,Gollahalli,3,,87000,2,IHS,2,70
Super Market,Ready To Move,Bisuvanahalli,3,,27500,45,Helix,4,33
Super Market,44001,Rajankunte,,Raard B,38125,18,Locker,3,89
Super Market,44004,Whitefield,3,GoAirej,27875,28,Locker,3,12
Super Market,44184,Hennur Road,3,Caycend,24822,42,IHS,2,42
Super Market,43972,Electronic City,2,Soeurri,42000,15,IHS,2,63
Super Market,Ready To Move,Begur Road,3,Prionad,31750,20,Helix,4,48
General Store,Ready To Move,D Souza Layout,3,DSeak S,9900,4,Locker,3,85
General Store,Ready To Move,Chinnapanahalli,2,,12000,1,Locker,3,36
Super Market,43940,Akshaya Nagar,3,CLdiaAr,57500,32,Locker,3,68
General Store,Ready To Move,Kengeri Satellite Town,2,,39750,8,Locker,3,54
Super Market,Ready To Move,Hosakerehalli,5,,#VALUE!,27,Locker,3,87
General Store,Ready To Move,Electronic City Phase II,2,,28125,4,IHS,2,64
Super Market,43909,Govindpura,3,Puachal,9675,23,IHS,2,79
Super Market,Ready To Move,Hosur Road,1,IBityin,33125,34,IHS,2,26
General Store,Ready To Move,Rachenahalli,2,GMown E,59500,13,Helix,4,69
Super Market,Ready To Move,HSR Layout,2,Klark L,12000,32,IHS,2,23
Super Market,Ready To Move,Somasundara Palya,2,Pyikad ,87500,18,IHS,2,83
General Store,Ready To Move,Kogilu,7,,32375,8,Helix,4,79
Drug Store,Ready To Move,Bharathi Nagar,2,Pronege,26875,4,Locker,3,67
Super Market,Ready To Move,Jalahalli,3,Goeesem,4860,16,Helix,4,60
