store_type,store,owned/rented,own_rent,city,rating,address,total_sqft,employees,programs,programs_val,Dpmo
Departmental Store,2,owned,1,Ghaziabad,2,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",6630,30,Locker,3,45
Bank,1,rented,2,Gandhinagar,5,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",1299,5,Locker,3,81
Movie theater,6,owned,1,Dwarka,3,"SJRA 230, KOCHI COCHIN ERNAKULAM KERALA, S Janatha Rd, Palarivattom, Kochi, Kerala 6820250",23413,8,Locker,3,67
Movie theater,6,owned,1,Chandigarh,4,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",2800,11,Helix,4,3
Departmental Store,2,owned,1,Noida,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",23413,12,IHS,2,12
Pharmacy,7,owned,1,Mumbai,4,"157, Khadilkar Road, Shop No. 8; Nawalkar Bldg, Girgaon, Mumbai, Maharashtra 400004",18002,20,3P,1,45
Grocery,3,rented,2,Mumbai,3,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",23413,6,IHS,2,8
Departmental Store,2,owned,1,Gurgaon,2,"157, Khadilkar Road, Shop No. 8; Nawalkar Bldg, Girgaon, Mumbai, Maharashtra 400004",1800,8,IHS,2,81
Departmental Store,2,owned,1,Jalandar,2,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",5100,12,3P,1,65
Lifestyle Store,5,rented,2,CP,5,"Kanchanjunga Towers, Behind double tree by Hilton, Near, 122011, Sector 56, Gurugram, Haryana 122011",11000,15,IHS,2,67
Pharmacy,7,owned,1,CP,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",23452,10,Locker,3,32
Pharmacy,7,owned,1,Noida,5,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",6362,11,3P,1,16
Lifestyle Store,5,owned,1,Mumbai,3,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",7875,31,IHS,2,54
Movie theater,6,owned,1,Noida,3,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",1686,10,Locker,3,50
Grocery,3,owned,1,Ghaziabad,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",8880,20,IHS,2,15
Movie theater,6,owned,1,Gurgaon,3,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",11000,41,IHS,2,52
Grocery,3,owned,1,CP,5,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",35000,3,Locker,3,55
Movie theater,6,owned,1,Chandigarh,4,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",23413,25,IHS,2,3
Bank,1,owned,1,Dwarka,4,"Shop No, 225, Rani Jhansi Rd, Mall Enclave, Civil Lines, Ludhiana, Punjab 141001",1299,12,Helix,4,45
Departmental Store,2,owned,1,Mumbai,4,"Vivek Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010",2837,4,Locker,3,3
Bank,1,owned,1,Chandigarh,5,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",11000,18,Locker,3,23
Grocery,3,owned,1,Mumbai,4,"SCO 10, Bridge Market, 17D, Sector 17 E, Chandigarh, 160017",23452,12,IHS,2,23
Bank,1,owned,1,Amritsar,5,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",11000,11,IHS,2,8
Gym,4,owned,1,Ahemdabad,2,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",23452,14,Helix,4,20
Restraunt,7,rented,2,CP,3,"SN 85, Kala Niketan, The Mall Rd, Nr Minerva Hotel, Shimla, Himachal Pradesh 171001",47425,5,Locker,3,21
Restraunt,7,owned,1,CP,1,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",20002,10,IHS,2,45
Grocery,3,owned,1,Chandigarh,3,"E/1-282, Gauravaddo, Calangute, Goa 403516",23452,10,3P,1,8
Departmental Store,2,owned,1,Nagpur,5,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",35000,5,IHS,2,32
Grocery,3,rented,2,Noida,2,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",1953,5,IHS,2,45
Pharmacy,7,owned,1,Gurgaon,3,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",6362,10,Locker,3,23
Grocery,3,owned,1,CP,2,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",11000,11,3P,1,81
Movie theater,6,owned,1,Mumbai,5,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",23452,11,3P,1,32
Pharmacy,7,rented,2,Mumbai,4,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",11000,11,IHS,2,45
Gym,4,owned,1,Mumbai,5,"4N Block, Srirampura, Bengaluru, Karnataka 560021",1800,11,IHS,2,59
Movie theater,6,owned,1,CP,3,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",23452,12,3P,1,22
Bank,1,owned,1,Mumbai,3,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",36125,14,3P,1,72
Departmental Store,2,owned,1,Jalandar,3,"Mathura Rd, Opposite Mohan Estata Metro Station, Delhi Metro Housing Complex, Ali Extension, Madanpur Khadar, New Delhi, Delhi 110076",1299,11,IHS,2,72
Bank,1,owned,1,Ahemdabad,3,"9A, Rohtas Pandit House, Shahnajaf Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",5677,4,3P,1,26
